school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,nursery,internet,guardian,traveltime,higher,romantic,famrel,freetime,goout,studytime_mat,failures_mat,schoolsup_mat,famsup_mat,paid_mat,activities_mat,Dalc_mat,Walc_mat,health_mat,absences_mat,G1_mat,G2_mat,G3_mat,studytime_por,failures_por,schoolsup_por,famsup_por,paid_por,activities_por,Dalc_por,Walc_por,health_por,absences_por,G1_por,G2_por,G3_por,studytime
GP,F,18,U,GT3,A,4,4,at_home,teacher,course,yes,no,mother,2,yes,no,4,3,4,2,0,yes,no,no,no,1,1,3,6,5,6,6,2,0,yes,no,no,no,1,1,3,4,0,11,11,4
GP,F,17,U,GT3,T,1,1,at_home,other,course,no,yes,father,1,yes,no,5,3,3,2,0,no,yes,no,no,1,1,3,4,5,5,6,2,0,no,yes,no,no,1,1,3,2,9,11,11,4
GP,F,15,U,LE3,T,1,1,at_home,other,other,yes,yes,mother,1,yes,no,4,3,2,2,3,yes,no,yes,no,2,3,3,10,7,8,10,2,0,yes,no,no,no,2,3,3,6,12,13,12,4
GP,F,15,U,GT3,T,4,2,health,services,home,yes,yes,mother,1,yes,yes,3,2,2,3,0,no,yes,yes,yes,1,1,5,2,15,14,15,3,0,no,yes,no,yes,1,1,5,0,14,14,14,6
GP,F,16,U,GT3,T,3,3,other,other,home,yes,no,father,1,yes,no,4,3,2,2,0,no,yes,yes,no,1,2,5,4,6,10,10,2,0,no,yes,no,no,1,2,5,0,11,13,13,4
GP,M,16,U,LE3,T,4,3,services,other,reputation,yes,yes,mother,1,yes,no,5,4,2,2,0,no,yes,yes,yes,1,2,5,10,15,15,15,2,0,no,yes,no,yes,1,2,5,6,12,12,13,4
GP,M,16,U,LE3,T,2,2,other,other,home,yes,yes,mother,1,yes,no,4,4,4,2,0,no,no,no,no,1,1,3,0,12,12,11,2,0,no,no,no,no,1,1,3,0,13,12,13,4
GP,F,17,U,GT3,A,4,4,other,teacher,home,yes,no,mother,2,yes,no,4,1,4,2,0,yes,yes,no,no,1,1,1,6,6,5,6,2,0,yes,yes,no,no,1,1,1,2,10,13,13,4
GP,M,15,U,LE3,A,3,2,services,other,home,yes,yes,mother,1,yes,no,4,2,2,2,0,no,yes,yes,no,1,1,1,0,16,18,19,2,0,no,yes,no,no,1,1,1,0,15,16,17,4
GP,M,15,U,GT3,T,3,4,other,other,home,yes,yes,mother,1,yes,no,5,5,1,2,0,no,yes,yes,yes,1,1,5,0,14,15,15,2,0,no,yes,no,yes,1,1,5,0,12,12,13,4
GP,F,15,U,GT3,T,4,4,teacher,health,reputation,yes,yes,mother,1,yes,no,3,3,3,2,0,no,yes,yes,no,1,2,2,0,10,8,9,2,0,no,yes,no,no,1,2,2,2,14,14,14,4
GP,F,15,U,GT3,T,2,1,services,other,reputation,yes,yes,father,3,yes,no,5,2,2,3,0,no,yes,no,yes,1,1,4,4,10,12,12,3,0,no,yes,no,yes,1,1,4,0,10,12,13,6
GP,M,15,U,LE3,T,4,4,health,services,course,yes,yes,father,1,yes,no,4,3,3,1,0,no,yes,yes,yes,1,3,5,2,14,14,14,1,0,no,yes,no,yes,1,3,5,0,12,13,12,2
GP,M,15,U,GT3,T,4,3,teacher,other,course,yes,yes,mother,2,yes,no,5,4,3,2,0,no,yes,yes,no,1,2,3,2,10,10,11,2,0,no,yes,no,no,1,2,3,0,12,12,13,4
GP,M,15,U,GT3,A,2,2,other,other,home,yes,yes,other,1,yes,yes,4,5,2,3,0,no,yes,no,no,1,1,3,0,14,16,16,3,0,no,yes,no,no,1,1,3,0,14,14,15,6
GP,F,16,U,GT3,T,4,4,health,other,home,yes,yes,mother,1,yes,no,4,4,4,1,0,no,yes,no,no,1,2,2,4,14,14,14,1,0,no,yes,no,no,1,2,2,6,17,17,17,2
GP,F,16,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,1,yes,no,3,2,3,3,0,no,yes,yes,yes,1,2,2,6,13,14,14,3,0,no,yes,no,yes,1,2,2,10,13,13,14,6
GP,F,16,U,GT3,T,3,3,other,other,reputation,yes,no,mother,3,yes,no,5,3,2,2,0,yes,yes,no,yes,1,1,4,4,8,10,10,2,0,yes,yes,no,yes,1,1,4,2,13,14,14,4
GP,M,17,U,GT3,T,3,2,services,services,course,yes,yes,mother,1,yes,no,5,5,5,1,3,no,yes,no,yes,2,4,5,16,6,5,5,1,3,no,yes,yes,yes,2,4,5,2,8,8,7,2
GP,M,16,U,LE3,T,4,3,health,other,home,yes,yes,father,1,yes,no,3,1,3,1,0,no,no,yes,yes,1,3,5,4,8,10,10,1,0,no,no,no,yes,1,3,5,6,12,12,12,2
GP,M,15,U,GT3,T,4,3,teacher,other,reputation,yes,yes,mother,1,yes,no,4,4,1,2,0,no,no,no,no,1,1,1,0,13,14,15,2,0,no,no,no,no,1,1,1,0,12,13,14,4
GP,M,15,U,GT3,T,4,4,health,health,other,yes,yes,father,1,yes,no,5,4,2,1,0,no,yes,yes,no,1,1,5,0,12,15,15,1,0,no,yes,yes,no,1,1,5,0,11,12,12,2
GP,M,16,U,LE3,T,4,2,teacher,other,course,yes,yes,mother,1,yes,no,4,5,1,2,0,no,no,no,yes,1,3,5,2,15,15,16,2,0,no,no,no,yes,1,3,5,0,12,13,14,4
GP,M,16,U,LE3,T,2,2,other,other,reputation,yes,yes,mother,2,yes,no,5,4,4,2,0,no,yes,no,yes,2,4,5,0,13,13,12,2,0,no,yes,no,yes,2,4,5,2,10,10,10,4
GP,F,15,R,GT3,T,2,4,services,health,course,yes,yes,mother,1,yes,no,4,3,2,3,0,yes,yes,yes,yes,1,1,5,2,10,9,8,3,0,yes,yes,no,yes,1,1,5,2,10,11,10,6
GP,F,16,U,GT3,T,2,2,services,services,home,no,yes,mother,1,yes,no,1,2,2,1,2,no,yes,yes,no,1,3,5,14,6,9,8,1,0,no,yes,no,no,1,3,5,6,10,11,12,2
GP,M,15,U,GT3,T,2,2,other,other,home,yes,yes,mother,1,yes,no,4,2,2,1,0,no,yes,yes,no,1,2,5,2,12,12,11,1,0,no,yes,no,no,1,2,5,8,11,12,12,2
GP,M,15,U,GT3,T,4,2,health,services,other,yes,yes,mother,1,yes,no,2,2,4,1,0,no,no,yes,no,2,4,1,4,15,16,15,1,0,no,no,no,no,2,4,1,0,11,11,11,2
GP,M,16,U,LE3,A,3,4,services,other,home,yes,yes,mother,1,yes,no,5,3,3,2,0,yes,yes,no,yes,1,1,5,4,11,11,11,2,0,yes,yes,yes,yes,1,1,5,2,12,12,13,4
GP,M,16,U,GT3,T,4,4,teacher,teacher,home,yes,yes,mother,1,yes,yes,4,4,5,2,0,no,yes,yes,yes,5,5,5,16,10,12,11,2,0,no,yes,yes,yes,5,5,5,4,12,11,12,4
GP,M,15,U,GT3,T,4,4,health,services,home,no,yes,mother,1,yes,no,5,4,2,2,0,no,yes,yes,no,3,4,5,0,9,11,12,2,0,no,yes,yes,no,3,4,5,0,10,11,11,4
GP,M,15,U,GT3,T,4,4,services,services,reputation,yes,yes,mother,2,yes,no,4,3,1,2,0,no,yes,no,yes,1,1,5,0,17,16,17,2,0,no,yes,no,yes,1,1,5,2,15,15,15,4
GP,M,15,R,GT3,T,4,3,teacher,at_home,course,yes,yes,mother,1,yes,yes,4,5,2,2,0,no,yes,no,yes,1,1,5,0,17,16,16,2,0,no,yes,no,yes,1,1,5,0,13,14,15,4
GP,M,15,U,LE3,T,3,3,other,other,course,no,yes,mother,1,yes,no,5,3,2,2,0,no,no,no,yes,1,1,2,0,8,10,12,2,0,no,no,no,yes,1,1,2,0,13,12,12,4
GP,M,16,U,GT3,T,3,2,other,other,home,no,yes,mother,1,yes,no,5,4,3,1,0,no,yes,yes,no,1,1,5,0,12,14,15,1,0,no,yes,no,no,1,1,5,4,12,12,12,2
GP,F,15,U,GT3,T,2,3,other,other,other,yes,no,father,2,yes,no,3,5,1,1,0,no,yes,no,yes,1,1,5,0,8,7,6,1,0,no,yes,no,yes,1,1,5,4,11,11,11,2
GP,M,15,U,LE3,T,4,3,teacher,services,home,yes,yes,mother,1,yes,no,5,4,3,3,0,no,yes,no,yes,1,1,4,2,15,16,18,3,0,no,yes,no,yes,1,1,4,0,14,14,14,6
GP,M,16,R,GT3,A,4,4,other,teacher,reputation,yes,yes,mother,2,yes,yes,2,4,3,3,0,no,yes,no,yes,1,1,5,7,15,16,15,3,0,no,yes,no,yes,1,1,5,4,13,13,13,6
GP,F,15,R,GT3,T,3,4,services,health,course,yes,yes,mother,1,yes,no,4,3,2,3,0,yes,yes,yes,yes,1,1,5,2,12,12,11,3,0,yes,yes,no,yes,1,1,5,2,11,12,12,6
GP,F,15,R,GT3,T,2,2,at_home,other,reputation,yes,no,mother,1,yes,no,4,3,1,1,0,yes,yes,yes,yes,1,1,2,8,14,13,13,1,0,yes,yes,no,yes,1,1,2,8,14,13,12,2
GP,F,16,U,LE3,T,2,2,other,other,home,no,yes,mother,2,yes,yes,3,3,3,2,1,no,yes,no,yes,1,2,3,25,7,10,11,2,0,no,yes,no,yes,1,2,3,16,11,11,10,4
GP,M,15,U,LE3,T,4,4,teacher,other,home,no,yes,other,1,yes,yes,5,4,3,1,0,no,yes,no,no,2,4,5,8,12,12,12,1,0,no,yes,no,no,2,4,5,8,10,11,11,2
GP,M,15,U,GT3,T,4,4,services,teacher,course,yes,yes,father,1,yes,no,4,3,3,2,0,no,yes,no,yes,1,1,5,2,19,18,18,2,0,no,yes,no,yes,1,1,5,0,14,15,15,4
GP,M,15,U,GT3,T,2,2,services,services,course,yes,yes,father,1,yes,no,5,4,1,1,0,yes,yes,no,no,1,1,1,0,8,8,11,1,0,yes,yes,no,no,1,1,1,0,9,10,10,2
GP,F,16,U,LE3,T,2,2,other,at_home,course,yes,yes,father,2,yes,no,4,3,3,2,1,yes,no,no,yes,2,2,5,14,10,10,9,2,1,yes,no,no,yes,2,2,5,14,10,11,11,4
GP,F,15,U,LE3,A,4,3,other,other,course,yes,yes,mother,1,yes,yes,5,2,2,2,0,yes,yes,yes,yes,1,1,5,8,8,8,6,2,0,yes,yes,yes,yes,1,1,5,4,10,11,11,4
GP,F,16,U,LE3,A,3,3,other,services,home,yes,yes,mother,1,yes,no,2,3,5,2,0,no,yes,no,no,1,4,3,12,11,12,11,2,0,no,yes,no,no,1,4,3,6,13,12,13,4
GP,M,16,U,GT3,T,4,3,health,services,reputation,yes,yes,mother,1,yes,no,4,2,2,4,0,no,no,no,yes,1,1,2,4,19,19,20,4,0,no,no,no,yes,1,1,2,2,17,17,17,8
GP,M,15,U,GT3,T,4,2,teacher,other,home,yes,no,mother,1,yes,no,4,3,3,2,0,no,yes,yes,no,2,2,5,2,15,15,14,2,0,no,yes,no,no,2,2,5,4,11,12,13,4
GP,F,15,U,GT3,T,4,4,services,teacher,other,no,yes,father,1,yes,no,4,4,4,2,1,yes,yes,no,yes,1,1,3,2,7,7,7,2,0,yes,yes,no,yes,1,1,3,2,13,12,12,4
GP,F,16,U,LE3,T,2,2,services,services,course,yes,yes,mother,3,yes,no,4,3,3,2,0,no,yes,yes,no,2,3,4,2,12,13,13,2,0,no,yes,no,no,2,3,4,0,14,13,13,4
GP,F,15,U,LE3,T,4,2,health,other,other,yes,yes,mother,1,yes,no,4,3,3,2,0,no,yes,yes,no,1,1,5,2,11,13,13,2,0,no,yes,no,no,1,1,5,0,16,14,16,4
GP,M,15,U,LE3,A,4,2,health,health,other,yes,no,father,2,yes,no,5,5,5,1,1,no,no,no,no,3,4,5,6,11,11,10,1,0,no,no,no,no,3,4,5,4,10,9,9,2
GP,F,15,U,GT3,T,4,4,services,services,course,yes,yes,mother,1,yes,no,3,3,4,1,0,yes,yes,yes,no,2,3,5,0,8,10,11,1,0,yes,yes,no,no,2,3,5,0,13,12,12,2
GP,F,15,U,LE3,A,3,3,other,other,other,yes,yes,mother,1,yes,no,5,3,4,1,0,no,no,yes,no,4,4,1,6,10,13,13,1,0,no,no,no,no,4,4,1,0,13,12,13,2
GP,F,16,U,GT3,A,2,1,other,other,other,yes,yes,mother,1,yes,yes,5,3,4,2,0,no,no,yes,yes,1,1,2,8,8,9,10,2,0,no,no,no,yes,1,1,2,2,12,13,12,4
GP,F,15,U,GT3,A,4,3,services,services,reputation,yes,yes,mother,1,yes,no,4,3,2,2,0,no,yes,yes,yes,1,1,1,0,14,15,15,2,0,no,yes,no,yes,1,1,1,0,15,14,15,4
GP,M,15,U,GT3,T,4,4,teacher,health,reputation,yes,no,mother,1,yes,no,3,2,2,2,0,no,yes,no,yes,1,1,5,4,14,15,15,2,0,no,yes,no,yes,1,1,5,8,15,15,16,4
GP,M,15,U,LE3,T,1,2,other,at_home,home,yes,yes,father,1,yes,no,4,3,2,2,0,yes,yes,no,yes,1,1,5,2,9,10,9,2,0,yes,yes,no,yes,1,1,5,0,14,13,14,4
GP,F,16,U,GT3,T,4,2,services,other,course,yes,yes,mother,1,yes,no,4,2,3,2,0,no,yes,no,no,1,1,5,2,15,16,16,2,0,no,yes,yes,no,1,1,5,2,16,15,16,4
GP,F,16,R,GT3,T,4,4,health,teacher,other,yes,no,mother,1,yes,no,2,4,4,2,0,no,yes,no,yes,2,3,4,6,10,11,11,2,0,no,yes,no,yes,2,3,4,0,17,16,16,4
GP,F,16,U,GT3,T,1,1,services,services,course,no,yes,father,4,yes,yes,5,5,5,1,0,yes,yes,no,yes,5,5,5,6,10,8,11,1,0,yes,yes,no,yes,5,5,5,0,10,10,16,2
GP,F,16,U,LE3,T,1,2,other,services,reputation,yes,yes,father,1,yes,no,4,4,3,2,0,yes,no,no,yes,1,1,1,4,8,10,9,2,0,yes,no,no,yes,1,1,1,0,13,13,10,4
GP,F,16,U,GT3,T,4,3,teacher,health,home,yes,yes,mother,1,yes,no,3,4,4,3,0,yes,yes,yes,yes,2,4,4,2,10,9,9,3,0,yes,yes,no,yes,2,4,4,0,14,13,13,6
GP,F,15,U,LE3,T,4,3,services,services,reputation,yes,yes,father,1,yes,yes,4,4,4,2,0,yes,no,no,yes,2,4,2,0,10,10,10,2,0,yes,no,no,yes,2,4,2,0,13,12,12,4
GP,F,16,U,LE3,T,4,3,teacher,services,course,yes,yes,mother,3,yes,no,5,4,3,2,0,no,yes,no,yes,1,2,1,2,16,15,15,2,0,no,yes,no,yes,1,2,1,2,16,15,16,4
GP,M,15,U,GT3,A,4,4,other,services,reputation,no,yes,mother,1,yes,yes,1,3,3,4,0,no,yes,no,yes,5,5,3,4,13,13,12,4,0,no,yes,no,yes,5,5,3,0,11,12,12,8
GP,F,16,U,GT3,T,3,1,services,other,course,yes,yes,mother,1,yes,no,4,3,3,4,0,yes,yes,yes,no,1,2,5,4,7,7,6,4,0,yes,yes,no,no,1,2,5,0,10,9,10,8
GP,F,15,R,LE3,T,2,2,health,services,reputation,yes,yes,mother,2,yes,no,4,1,3,2,0,yes,yes,yes,no,1,3,4,2,8,9,8,2,0,yes,yes,no,no,1,3,4,0,11,10,11,4
GP,F,15,R,LE3,T,3,1,other,other,reputation,no,yes,father,2,yes,no,4,4,2,4,0,no,yes,no,no,2,3,3,12,16,16,16,4,0,no,yes,no,no,2,3,3,6,15,15,15,8
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,yes,father,2,yes,no,4,3,2,4,0,no,yes,yes,no,1,1,5,0,13,15,15,4,0,no,yes,no,no,1,1,5,2,13,11,11,8
GP,M,15,U,GT3,T,4,2,other,other,course,yes,yes,mother,1,yes,no,3,3,3,4,0,no,no,no,no,1,1,3,0,10,10,10,4,0,no,no,no,no,1,1,3,0,11,9,10,8
GP,F,15,R,GT3,T,1,1,other,other,reputation,no,yes,mother,1,yes,yes,3,3,4,2,2,yes,yes,no,no,2,4,5,2,8,6,5,2,0,yes,yes,no,no,2,4,5,2,13,11,11,4
GP,M,16,U,GT3,T,3,1,other,other,reputation,yes,no,mother,1,yes,no,5,3,2,1,0,no,no,no,yes,2,2,5,2,12,12,14,1,0,no,no,no,yes,2,2,5,0,13,13,14,2
GP,F,16,U,GT3,T,3,3,other,services,home,yes,yes,mother,1,yes,no,4,3,3,2,0,yes,yes,yes,yes,2,4,5,54,11,12,11,2,0,yes,yes,no,yes,2,4,5,4,11,11,11,4
GP,M,15,U,GT3,T,4,3,teacher,other,home,yes,yes,mother,1,yes,no,4,3,3,2,0,no,yes,yes,yes,2,3,5,6,9,9,10,2,0,no,yes,no,yes,2,3,5,0,11,11,11,4
GP,M,15,U,GT3,T,4,0,teacher,other,course,yes,yes,mother,2,yes,no,3,4,3,4,0,no,no,no,yes,1,1,1,8,11,11,10,4,0,no,no,no,yes,1,1,1,0,12,11,11,8
GP,F,16,U,GT3,T,2,2,other,other,reputation,yes,yes,mother,1,yes,yes,5,2,3,4,0,no,no,yes,no,1,3,3,0,11,11,11,4,0,no,no,no,no,1,3,3,1,13,13,13,8
GP,M,17,U,GT3,T,2,1,other,other,home,yes,yes,mother,2,no,no,4,5,1,1,3,yes,yes,no,yes,1,1,3,2,8,8,10,1,3,yes,yes,no,yes,1,1,3,0,9,9,10,2
GP,F,16,U,GT3,T,3,4,at_home,other,course,yes,yes,mother,1,yes,no,2,4,3,2,0,no,yes,no,no,1,2,3,12,5,5,5,2,0,no,yes,no,no,1,2,3,14,12,11,11,4
GP,M,15,U,GT3,T,2,3,other,services,course,no,yes,father,1,yes,yes,3,2,2,1,0,yes,yes,yes,yes,1,3,3,2,10,12,12,1,0,yes,yes,no,yes,1,3,3,0,11,11,12,2
GP,M,15,U,GT3,T,2,3,other,other,home,no,yes,mother,1,yes,no,5,3,2,3,0,yes,no,yes,no,1,2,5,4,11,10,11,3,0,yes,no,no,no,1,2,5,2,10,9,9,6
GP,F,15,U,LE3,T,3,2,services,other,reputation,yes,yes,mother,1,yes,no,4,4,4,2,0,no,yes,yes,no,1,1,5,10,7,6,6,2,0,no,yes,no,no,1,1,5,4,12,11,11,4
GP,M,15,U,LE3,T,2,2,services,services,home,yes,yes,mother,2,yes,no,5,3,3,2,0,no,no,yes,yes,1,3,4,4,15,15,15,2,0,no,no,yes,yes,1,3,4,2,13,12,13,4
GP,F,15,U,GT3,T,1,1,other,other,home,no,yes,father,1,yes,no,4,3,2,2,0,no,yes,no,yes,2,3,4,2,9,10,10,2,0,no,yes,no,yes,2,3,4,2,13,12,12,4
GP,F,15,U,GT3,T,4,4,services,services,reputation,yes,yes,father,2,yes,yes,4,4,4,2,2,no,no,yes,no,2,3,5,6,7,9,8,2,0,no,no,no,no,2,3,5,4,12,11,12,4
GP,F,16,U,LE3,T,2,2,at_home,other,course,yes,no,mother,1,yes,no,4,3,4,2,0,no,yes,no,no,1,2,2,4,8,7,6,2,0,no,yes,no,no,1,2,2,6,13,11,11,4
GP,F,15,U,GT3,T,4,2,other,other,reputation,yes,yes,mother,1,yes,no,5,3,3,3,0,no,yes,no,yes,1,3,1,4,13,14,14,3,0,no,yes,no,yes,1,3,1,4,15,15,15,6
GP,M,16,U,GT3,T,2,2,services,other,reputation,no,yes,father,2,yes,no,4,4,2,2,1,no,no,yes,yes,1,1,3,12,11,10,10,2,0,no,no,no,yes,1,1,3,6,12,10,11,4
GP,M,16,U,LE3,A,4,4,teacher,health,reputation,yes,no,mother,1,yes,no,4,1,3,2,0,no,yes,no,no,3,5,5,18,8,6,7,2,0,no,yes,no,no,3,5,5,6,9,9,10,4
GP,F,16,U,GT3,T,3,3,other,other,home,yes,yes,mother,1,yes,yes,4,3,3,3,0,no,yes,yes,no,1,3,4,0,7,7,8,3,0,no,yes,no,no,1,3,4,2,9,11,11,6
GP,F,15,U,GT3,T,4,3,services,other,reputation,yes,yes,mother,1,yes,no,4,5,5,1,0,no,no,yes,yes,1,3,1,4,16,17,18,1,0,no,no,no,yes,1,3,1,6,14,13,13,2
GP,F,16,U,LE3,T,3,1,other,other,home,yes,no,father,1,yes,no,3,3,3,2,0,yes,yes,no,no,2,3,2,4,7,6,6,2,0,yes,yes,no,no,2,3,2,0,12,13,12,4
GP,F,16,U,GT3,T,4,2,teacher,services,home,yes,yes,mother,2,yes,no,5,3,3,2,0,no,yes,yes,yes,1,1,1,0,11,10,10,2,0,no,yes,no,yes,1,1,1,2,13,14,14,4
GP,M,15,U,LE3,T,2,2,services,health,reputation,yes,yes,mother,1,yes,no,4,3,4,4,0,no,yes,no,yes,1,1,4,6,11,13,14,4,0,no,yes,no,yes,1,1,4,2,11,12,12,8
GP,F,15,R,GT3,T,1,1,at_home,other,home,yes,yes,mother,2,yes,no,3,1,2,4,1,yes,yes,yes,yes,1,1,1,2,7,10,10,4,0,yes,yes,yes,yes,1,1,1,4,13,13,13,8
GP,M,16,R,GT3,T,4,3,services,other,reputation,no,yes,mother,2,yes,no,3,3,3,1,0,yes,yes,no,yes,1,1,4,2,11,15,15,1,0,yes,yes,yes,yes,1,1,4,6,9,11,11,2
GP,F,16,U,GT3,T,2,1,other,other,course,yes,no,mother,1,yes,yes,4,3,5,2,0,no,yes,yes,no,1,1,5,2,8,9,10,2,0,no,yes,no,no,1,1,5,0,13,12,12,4
GP,F,16,U,GT3,T,4,4,other,other,reputation,no,yes,mother,1,yes,no,5,3,4,1,0,no,no,no,yes,1,2,1,6,11,14,14,1,0,no,no,no,yes,1,2,1,4,12,13,13,2
GP,F,16,U,GT3,T,4,3,other,at_home,course,yes,yes,mother,1,yes,no,5,3,5,3,0,yes,yes,yes,no,1,1,3,0,7,9,8,3,0,yes,yes,no,no,1,1,3,2,12,13,13,6
GP,M,16,U,GT3,T,4,4,services,services,other,yes,yes,mother,1,yes,no,4,5,5,1,0,yes,yes,yes,yes,5,5,4,14,7,7,5,1,0,yes,yes,no,yes,5,5,4,12,9,9,8,2
GP,M,16,U,GT3,T,4,4,services,teacher,other,yes,yes,father,1,yes,yes,4,4,3,3,0,no,yes,no,yes,1,1,4,0,16,17,17,3,0,no,yes,no,yes,1,1,4,0,16,16,16,6
GP,M,15,U,GT3,T,4,4,services,other,course,no,yes,mother,1,yes,no,5,3,3,1,0,no,yes,no,yes,1,1,5,4,10,13,14,1,0,no,yes,yes,yes,1,1,5,2,12,13,12,2
GP,F,15,U,GT3,T,3,2,services,other,home,yes,yes,mother,2,yes,no,4,3,5,2,0,yes,yes,yes,no,1,1,2,26,7,6,6,2,0,yes,yes,no,no,1,1,2,16,11,10,10,4
GP,M,15,U,GT3,A,3,4,services,other,course,yes,yes,mother,1,yes,no,5,4,4,2,0,no,yes,yes,yes,1,1,1,0,16,18,18,2,0,no,yes,no,yes,1,1,1,0,16,16,16,4
GP,F,15,U,GT3,A,3,3,other,health,reputation,yes,no,father,1,yes,no,4,3,3,4,0,yes,no,no,no,1,1,4,10,10,11,11,4,0,yes,no,no,no,1,1,4,10,10,10,10,8
GP,F,15,U,GT3,T,2,2,other,other,course,yes,yes,mother,1,yes,no,5,1,2,4,0,yes,yes,yes,no,1,1,3,8,7,8,8,4,0,yes,yes,no,no,1,1,3,4,10,10,10,8
GP,M,16,U,GT3,T,3,3,services,other,home,yes,yes,father,1,yes,no,5,3,3,3,0,no,yes,no,yes,1,1,5,2,16,18,18,3,0,no,yes,no,yes,1,1,5,4,13,14,14,6
GP,M,15,R,GT3,T,4,4,other,other,home,yes,yes,father,4,yes,yes,1,3,5,4,0,no,yes,yes,yes,3,5,1,6,10,13,13,4,0,no,yes,no,yes,3,5,1,8,12,10,11,8
GP,F,16,U,LE3,T,4,4,health,health,other,yes,yes,mother,1,yes,yes,5,4,5,3,0,no,yes,yes,yes,1,1,4,4,14,15,16,3,0,no,yes,no,yes,1,1,4,2,15,15,14,6
GP,M,15,U,LE3,A,4,4,teacher,teacher,course,yes,yes,mother,1,yes,no,5,5,3,1,0,no,no,no,yes,1,1,4,6,18,19,19,1,0,no,no,no,yes,1,1,4,4,13,14,14,2
GP,F,16,R,GT3,T,3,3,services,other,reputation,yes,yes,father,1,yes,no,4,1,2,3,1,yes,yes,no,yes,1,1,2,0,7,10,10,3,0,yes,yes,no,yes,1,1,2,4,11,11,11,6
GP,F,16,U,GT3,T,2,2,at_home,other,home,yes,yes,mother,1,yes,no,3,1,2,2,1,yes,no,no,yes,1,1,5,6,10,13,13,2,1,yes,no,no,yes,1,1,5,12,8,10,10,4
GP,M,15,U,LE3,T,4,2,teacher,other,course,yes,yes,mother,1,yes,no,3,5,2,1,0,no,no,no,no,1,1,3,10,18,19,19,1,0,no,no,no,no,1,1,3,10,18,17,18,2
GP,M,15,R,GT3,T,2,1,health,services,reputation,yes,yes,mother,1,yes,yes,5,4,2,2,0,no,no,no,yes,1,1,5,8,9,9,9,2,0,no,no,no,yes,1,1,5,4,10,9,10,4
GP,M,16,U,GT3,T,4,4,teacher,teacher,course,yes,yes,father,1,yes,no,5,4,4,2,0,no,yes,no,yes,1,2,5,2,15,15,16,2,0,no,yes,no,yes,1,2,5,6,16,14,14,4
GP,M,15,U,GT3,T,4,4,other,teacher,reputation,yes,no,father,2,yes,no,4,4,3,2,0,no,yes,no,yes,1,1,2,2,11,13,14,2,0,no,yes,no,yes,1,1,2,4,16,15,16,4
GP,M,16,U,GT3,T,3,3,other,services,home,yes,yes,father,2,yes,no,5,4,2,1,0,no,no,no,yes,1,1,5,0,13,14,13,1,0,no,no,no,yes,1,1,5,6,14,14,15,2
GP,M,17,R,GT3,T,1,3,other,other,course,yes,yes,father,3,yes,no,5,2,4,2,1,no,yes,no,yes,1,4,5,20,9,7,8,2,1,no,yes,no,yes,1,4,5,14,12,11,11,4
GP,M,15,U,GT3,T,3,4,other,other,reputation,yes,yes,father,1,yes,no,3,4,3,1,0,no,no,no,no,1,2,4,6,14,13,13,1,0,no,no,no,no,1,2,4,2,14,13,14,2
